Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
36,298.018,139.786,295.257,231.502,86.582,166.639,109.921,149.95,184.583,103.112,204.495,116.031,77.312,143.598,154.123,197.102,166.528,142.345,132.07,222.539,115.154,109.265,125.554,246.347,153.998,143.598,340.324,,,,,,,,281.078,314.958,682.77,,372.86,,239.114,689.525,,,,693.257,,,,396.16,,,,,,,,,,,,970.345,,,,,,,,,,,
37,323.741,147.315,315.71,177.808,88.715,189.1,114.313,227.246,215.702,111.391,255.744,99.742,79.944,104.002,172.919,176.302,173.295,161.641,120.291,259.629,122.296,304.487,302.357,246.597,136.957,137.709,390.696,,,,,,,,407.939,295.257,854.622,,,,378.474,,,,,,,,,709.062,,,,,,,,,,,,749.749,,,,,,,,,,,
38,320.228,128.367,391.626,179.443,187.343,197.131,218.212,166.388,188.347,172.48,310.251,97.235,69.042,125.178,163.897,276.67,101.872,194.095,111.395,199.608,128.561,344.585,298.473,215.647,144.726,175.675,328.922,,,,,,,,445.458,439.184,,,,,352.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,387.235,163,471.683,247.472,140.288,245.943,253.095,212.565,217.584,175.867,243.715,106.007,105.004,117.159,167.155,306.242,79.818,100.995,131.569,264.014,120.041,249.229,289.952,273.412,180.186,120.417,446.707,,,,,,,,410.449,405.053,,,,,414.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,426.259,150.075,694.789,226.095,177.054,196.754,242.429,174.419,474.82,186.278,341.201,82.575,87.211,149.236,165.15,419.265,98.739,131.945,152.745,246.221,129.689,244.342,311.755,201.864,159.01,141.092,957.319,,,,,,,,663.669,476.577,,,,,455.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,526.644,213.192,,276.646,166.388,232.767,295.884,229.63,449.473,200.578,505.599,71.799,95.732,134.701,205.623,484.173,107.51,229.305,147.357,349.346,179.81,292.333,288.699,191.088,172.292,176.678,,,,,,,,,754.016,554.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,632.174,175.799,,291.484,185.963,252.217,316.589,195.5,746.989,178.125,688.417,87.086,158.384,177.68,189.083,566.622,232.062,107.009,263.764,316.517,191.965,116.908,390.446,221.537,142.47,172.919,,,,,,,,,1001.464,1365.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,811.612,244.688,,360.394,191.233,365.526,389.493,213.192,935.461,213.499,715.483,116.031,194.972,140.966,240.207,657.091,198.23,353.857,258.877,393.077,270.154,156.755,468.76,177.179,130.316,165.651,,,,,,,,,1083.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,885.269,160.867,,348.197,186.465,341.434,268.655,254.476,1143.635,154.542,930.879,100.493,183.945,190.587,228.178,743.801,286.068,298.974,224.419,322.281,319.399,265.769,473.271,250.356,221.286,162.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,268.655,,676.274,202.15,440.188,423.75,320.73,1189.937,212.244,1267.695,116.658,205.748,199.233,253.865,761.97,211.638,156.128,261.007,435.054,266.145,322.531,636.291,279.176,203.117,183.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,469.55,,915.195,247.825,612.975,465.284,325.623,,215.004,,98.113,172.042,220.409,222.163,1079.239,313.133,170.287,408.239,451.719,288.073,262.135,614.614,289.702,190.085,173.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,634.558,,994.668,157.102,,565.292,410.7,,221.903,,103.626,189.584,216.274,264.641,1389.866,362.002,193.844,414.504,505.224,434.051,410.995,808.834,209.633,165.776,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,832.692,,,223.482,,633.052,318.596,,207.227,,95.732,246.848,456.982,291.706,1356.41,400.345,154.249,383.805,1224.466,507.479,300.478,,387.438,199.107,183.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,965.577,,,200.895,,803.581,342.689,,360.891,,92.349,298.723,469.512,371.65,,465.001,369.771,246.973,1425.202,647.944,405.983,,333.558,261.383,246.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,246.57,,1560.106,400.787,,278.226,,121.168,359.12,290.955,695.81,,578.025,386.812,318.271,1794.471,812.092,286.82,,949.048,298.849,257.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,236.155,,,496.403,,354.493,,98.614,466.505,413.376,1025.108,,647.568,404.981,425.405,,1042.024,375.033,,639.925,557.726,291.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,288.983,,,521.876,,370.299,,152.62,416.634,566.873,,,1017.589,490.688,729.767,,,439.94,,1236.745,473.397,331.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,352.978,,,525.264,,514.805,,194.847,1119.586,731.271,,,,460.24,824.497,,,453.348,,,737.912,291.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,378.451,,,579.723,,790.146,,179.184,725.131,,,,,371.399,,,,599.828,,870.483,1281.228,338.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,678.727,,,,,1067.368,,228.679,910.706,,,,,580.656,,,,759.84,,874.869,1007.064,794.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,526.895,,,,,1269.703,,234.317,,,,,,685.911,,,,777.132,,988.895,,295.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
