Cell Position,WT-1,WT-2,WT-3,WT-4,WT-5,WT-6,WT-7,WT-8,WT-9,WT-10,WT-11,WT-12,WT-13,WT-14,WT-15,WT-16,WT-17,WT-18,WT-19,WT-20,WT-21,WT-22,WT-23,WT-24,WT-25,WT-26,WT-27,WT-28,WT-29,WT-30,BC-1,BC-2,BC-3,BC-4,BC-5,BC-6,BC-7,BC-8,BC-9,BC-10,BC-11,BC-12,BC-13,BC-14,BC-15,BC-16,BC-17,BC-18,BC-19,BC-20,BC-21,BC-22,BC-23,BC-24,BC-25,BC-26,BC-27,BC-28,C1-1,C1-2,C1-3,C1-4,C1-5,C1-6,C1-7,C1-8,C1-9,C1-10,C1-11,C1-12,C1-13,C1-14,C1-15,C1-16,C1-17,C1-18,C1-19
22,467.668,522.503,,292.616,360.897,205.221,296.01,1373.516,381.964,182.826,371.926,210.739,304.738,300.102,202.866,402.475,314.261,567.499,219.657,334.811,239.455,297.721,150.489,338.194,319.649,274.164,397.463,193.844,97.235,450.09,,,354.359,319.023,457.849,300.402,,484.106,344.446,365.777,372.557,463.501,405.505,,326.919,392.084,517.395,,641.546,257.96,152.029,,335.794,420.401,565.249,294.964,,689.682,,658.012,,,170.515,1553.581,,,,,,,,,,,,1004.398,
23,579.974,510.583,,245.46,350.083,237.916,317.969,2087.88,391.626,301.155,362.389,394.132,315.138,316.642,190.085,344.71,346.589,516.376,230.057,336.315,236.197,278.8,165.902,361.876,159.135,191.714,358.744,223.917,330.801,476.78,,,339.301,262.814,476.334,302.033,,719.132,372.804,415.844,1012.049,481.062,529.154,,677.389,619.626,713.797,,777.143,486.914,191.855,,363.86,,685.793,312.682,,813.425,,,,,202.832,,,,,,,,,,,,,1011.046,
24,581.605,592.647,,306.7,463.131,221.317,322.612,,436.8,346.955,345.575,687.662,378.041,200.987,215.773,225.546,414.754,605.341,172.543,205.999,277.422,596.695,193.469,739.04,463.122,451.092,432.923,210.385,262.636,494.573,,,390.874,603.214,606.609,270.663,,1176.009,386.105,413.084,898.903,520.45,709.501,,865.92,895.68,,,,447.809,232.842,,337.362,,845.067,373.456,,752.432,,,,,271.993,,,,,,,,,,,,,,
25,674.461,746.487,,323.676,495.196,281.676,289.861,,507.445,361.511,483.353,552.061,386.812,182.442,218.404,334.936,433.55,660.099,193.97,217.402,253.364,307.62,220.91,968.721,333.307,385.308,313.509,474.274,180.813,662.104,,,397.148,644.963,796.489,301.907,,1970.555,471.307,374.31,,811.847,,,1232.039,,,,,608.713,182.04,,,,,563.555,,843.06,,,,,241.562,,,,,,,,,,,,,,
26,745.358,1620.463,,329.712,683.19,245.083,325.623,,431.529,316.463,294.002,549.803,805.2,198.481,297.095,317.268,224.794,1039.643,191.714,268.901,432.172,411.371,176.427,1479.333,340.074,434.051,482.794,453.849,222.288,738.789,,,428.769,870.555,1488.607,307.052,,,510.833,383.47,,,,,1398.211,,,,,797.84,206.845,,,,,,,,,,,,497.963,,,,,,,,,,,,,,
27,1057.931,,,883.884,756.25,236.407,738.331,,523.005,272.419,1017.401,649.779,771.368,214.269,252.111,,271.157,1287.994,274.791,272.41,537.176,700.697,230.182,2046.331,379.67,330.926,491.566,603.086,222.539,853.693,,,509.83,887.657,,289.485,,,598.043,518.864,,,,,,,,,,,424.572,,,,,,,,,,,,694.13,,,,,,,,,,,,,,
28,1054.041,,,1068.105,905.513,240.808,625.649,,604.568,314.958,1356.827,628.203,1231.357,419.14,562.863,,584.917,1615.663,265.393,550.834,642.18,934.388,212.891,,658.846,305.866,1049.166,559.605,435.555,1028.366,,,669.191,1222.901,,350.971,,,1500.252,573.95,,,,,,,,,,,507.956,,,,,,,,,,,,739.148,,,,,,,,,,,,,,
29,,,,2025.426,1084.83,503.37,588.883,,1322.069,298.018,1877.699,888.24,1228.601,486.679,751.696,,594.314,,227.551,728.138,678.268,1174.219,209.633,,669.371,667.116,1477.203,634.662,459.864,1429.086,,,882.885,1884.463,,705.706,,,1870.546,681.613,,,,,,,,,,,675.163,,,,,,,,,,,,914.189,,,,,,,,,,,,,,
30,,,,,1552.739,562.472,658.901,,1742.556,321.232,2515.143,,,387.188,677.766,,618.749,,243.214,893.163,695.184,,190.211,,820.612,752.823,1706.383,697.189,490.312,1745.477,,,1010.123,,,819.015,,,1130.459,1001.339,,,,,,,,,,,,,,,,,,,,,,,1020.824,,,,,,,,,,,,,,
31,,,,,,571.274,734.692,,,276.309,,,,442.071,835.899,,780.515,,598.324,1343.88,708.341,,373.53,,1012.577,794.925,2797.776,776.756,340.199,2268.243,,,,,,823.658,,,,2039.695,,,,,,,,,,,,,,,,,,,,,,,1766.762,,,,,,,,,,,,,,
32,,,,,,696.519,789.151,,,285.469,,,,460.24,1090.265,,,,794.048,,1387.485,,345.336,,1088.01,870.107,,808.333,392.325,,,,,,,940.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,992.153,1024.804,,,342.689,,,,529.658,,,,,1205.67,,1514.167,,484.423,,1113.071,1054.303,,918.474,476.153,,,,,,,1324.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
